name,time,DRB.UEThpDl,DRB.UEThpUl,PEE.AvgPower,PEE.Energy,QosFlow.TotPdcpPduVolumeDl,QosFlow.TotPdcpPduVolumeUl,RRC.ConnMax,RRC.ConnMean,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,RRU.PrbUsedDl,RRU.PrbUsedUl,Viavi.Cell.Name,Viavi.Geo.x,Viavi.Geo.y,Viavi.Geo.z,Viavi.GnbDuId,Viavi.NrCgi,Viavi.NrPci,Viavi.PEE.EnergyEfficiency,Viavi.QoS.Score,Viavi.Radio.antennaType,Viavi.Radio.azimuth,Viavi.Radio.power,_FrameCnt,_Ns3FrameCnt
CellReports,1684158893956000000,0,0,0,0,0,0,1,0,273,273,0,0,0,0,S6/5GANY/C1,808,-154,20,6,545431373570054,6,0,100,0,0,33,4120,4120
CellReports,1684158893956000000,0.029999999329447746,0.029999999329447746,0,0,29,29,2,1,273,273,30,30,84,84,S1/5GANY/C1,0,0,20,1,545431373570049,1,0,100,0,0,33,4120,4120
CellReports,1684158893956000000,0.09827999770641327,0.09827999770641327,0,0,98,98,6,4,273,273,100,100,273,273,S5/5GANY/C1,481,0,20,5,545431373570053,5,0,74,0,0,33,4120,4120
CellReports,1684158893956000000,0.05000000074505806,0.05000000074505806,0,0,50,50,7,1,273,273,50,50,139,139,S3/5GANY/C1,327,-231,20,3,545431373570051,3,0,100,0,0,33,4120,4120
CellReports,1684158893956000000,0.07999999821186066,0.07999999821186066,0,0,80,80,2,2,273,273,81,81,223,223,S2/5GANY/C1,0,-500,20,2,545431373570050,2,0,100,0,0,33,4120,4120
CellReports,1684158893956000000,0.05000000074505806,0.05000000074505806,0,0,50,50,2,1,273,273,50,50,139,139,S4/5GANY/C1,596,-500,20,4,545431373570052,4,0,100,0,0,33,4120,4120
CellReports,1684158892956000000,0.07999999821186066,0.07999999821186066,0,0,80,80,2,2,273,273,81,81,223,223,S2/5GANY/C1,0,-500,20,2,545431373570050,2,0,100,0,0,33,4119,4119
CellReports,1684158892956000000,0.05000000074505806,0.05000000074505806,0,0,50,50,2,1,273,273,50,50,139,139,S4/5GANY/C1,596,-500,20,4,545431373570052,4,0,100,0,0,33,4119,4119
CellReports,1684158892956000000,0.09827999770641327,0.09827999770641327,0,0,98,98,6,4,273,273,100,100,273,273,S5/5GANY/C1,481,0,20,5,545431373570053,5,0,74,0,0,33,4119,4119
CellReports,1684158892956000000,0,0,0,0,0,0,1,0,273,273,0,0,0,0,S6/5GANY/C1,808,-154,20,6,545431373570054,6,0,100,0,0,33,4119,4119
CellReports,1684158892956000000,0.029999999329447746,0.029999999329447746,0,0,29,29,2,1,273,273,30,30,84,84,S1/5GANY/C1,0,0,20,1,545431373570049,1,0,100,0,0,33,4119,4119
CellReports,1684158892956000000,0.05000000074505806,0.05000000074505806,0,0,50,50,7,1,273,273,50,50,139,139,S3/5GANY/C1,327,-231,20,3,545431373570051,3,0,100,0,0,33,4119,4119
CellReports,1684158891955000000,0.029999999329447746,0.029999999329447746,0,0,29,29,2,1,273,273,30,30,84,84,S1/5GANY/C1,0,0,20,1,545431373570049,1,0,100,0,0,33,4118,4118
